"東京都、ニューヨーク姉妹都市提携",35.674907,139.757949
"日比谷公園案内図",35.67471,139.756599
"日比谷パークセンター",35.673998,139.757694
"日比谷公園中幸門",35.671388,139.754985
"Fuji",35.67191,139.758538
"こぶし",35.675274,139.756732
"日比谷大噴水広場 案内板",35.673815,139.757173
"日比谷公園桜門",35.675754,139.75753
"Four-leaf Clover Table",35.672503,139.755957
"カリン",35.673852,139.755278
"鹿鳴館跡",35.672455,139.757499
"Small Cube Benches",35.672686,139.755882
"45この樹木の名は？",35.672208,139.755447
"日比谷公園 グリーンアドベンチャー",35.673507,139.757276
"国際連合記念碑",35.673843,139.755615
"日比谷公園 案内板",35.673222,139.757107
"イチョウ",35.672188,139.754301
"水飲み場",35.674259,139.757219
"My Sky Hole 84",35.671816,139.757387
"緑と水の市民カレッジ",35.673098,139.753796
"リングとらせん",35.67454,139.75541
"松本楼",35.673837,139.755936
"クスノキ4",35.672179,139.756683
"伊達政宗終焉の地",35.675253,139.758434
"つつじ山案内図",35.673111,139.755312
"Mosaic Wall",35.673279,139.758483
"盃",35.674529,139.757243
"シラカシ",35.672474,139.755162
"ハンカチノキ",35.674808,139.755792
"空を見るために イイノの森のためのミナレット",35.671563,139.753169
"鶴の噴水",35.673082,139.754812
"思い出ベンチ",35.674282,139.756013
"日比谷公園 噴水",35.672249,139.753419
"コアラの親子",35.674538,139.755779
"オリーブ",35.674884,139.75547
"Giraffe",35.675845,139.756774
"クスノキ",35.672592,139.754884
"サザンカ",35.672107,139.755252
"秋田県 あきたすぎ",35.672262,139.753705
"法務省",35.676446,139.753235
"21番この植樹の名前は？",35.674227,139.756466
"Horse Watering Tank(馬の水飲み)",35.673687,139.755429
"日生劇場",35.672917,139.758355
"クスノキ",35.674985,139.758242
"波",35.674631,139.755862
"首賭けイチョウ",35.673538,139.75571
"Hibiya-park Guide Map",35.671287,139.755943
"農産陳列所蚕病試験所跡",35.672713,139.756882
"スズカケノキ",35.675011,139.75674
"アメリカスズカケノキ",35.674662,139.755092
"少女の像",35.672512,139.758134
"市政会館",35.671536,139.755204
"南極の石",35.674245,139.757838
"アーク灯",35.676227,139.756054
"水飲み",35.674728,139.757984
"自由の鐘",35.675508,139.755696
"日比谷公園案内板",35.673599,139.754362
"石枡",35.673407,139.75708
"ヒマラヤスギ",35.673852,139.756756
"喫煙禁止",35.673164,139.755049
"日比谷公会堂",35.671889,139.755812
"ソーラー時計",35.672537,139.756183
"Small Open-Air Concert Hall, Hibiya Park",35.674007,139.757109
"Ancient Clay Figures(はにわ)",35.673324,139.755955
"ハナミズキ",35.67294,139.755491
"京橋の欄干柱",35.673686,139.754793
"東京都の木 イチョウ",35.673596,139.756155
"自転車",35.674568,139.755678
"石橋",35.673429,139.755269
"古事記連化",35.671322,139.754103
"日比谷公園時計塔",35.675436,139.755324
"西洋料理南部亭",35.671851,139.755208
"草地広場",35.674494,139.756376
"Exercise Equipment ",35.675234,139.75552
"パンダの親子",35.674521,139.75562
"第一花壇案内板",35.674872,139.757019
"灯籠",35.673509,139.754729
"Information Plate",35.673781,139.754151
"三笠山 Mount Mikasa",35.675622,139.75593
"芝御成道散歩",35.674079,139.754361
"話をする人",35.672941,139.758236
"日比谷図書文化館",35.672214,139.754797
"日比谷公園案内板",35.672196,139.755025
"松石",35.675303,139.757849
"アキニレ",35.671735,139.754812
"帝国ホテル",35.672657,139.757612
"Crane Fountain",35.673184,139.754569
"イイノホール＆カンファレンスセンター",35.671735,139.753071
"日本の都市公園100選",35.673691,139.757382
"モミジバスズカケノキ",35.67405,139.756779
"にれのき広場",35.672278,139.756301
"日比谷公園触知図案内板",35.67252,139.753967
"Shin Saiwai Gate",35.671806,139.756309
"スズカケノキ",35.672053,139.75638
"イチョウ並木",35.674037,139.755675
"日比谷グリーンサロン案内板",35.672853,139.754963
"半月のモニュメント",35.673897,139.755035
"日比谷野外音楽堂",35.67288,139.754547
"しろいかばさん",35.6744,139.755669
"あっちこっち",35.674132,139.755728
"市政会館",35.671225,139.755452
"弁護士会",35.674163,139.75391
"自由と正義",35.673966,139.753764
"立位体前屈",35.675165,139.755616
"日比谷公園 大噴水",35.673497,139.756791
"豊穣",35.673397,139.754041
"北海道 えぞまつ",35.672681,139.75345
"郷土の森",35.672717,139.753712
"日比谷公園第二花壇",35.672855,139.756688
"水飲み",35.67602,139.756185
"日比谷公園案内板",35.672144,139.753104
"日比谷公園入り口",35.671977,139.753611
"ホセ=リサール胸像",35.674016,139.758324
"日比谷公園ゲート",35.673169,139.757359
"タイサンボク",35.674906,139.757586
"ミスターリンカーン",35.673207,139.756284
"日比谷公園霞門",35.675095,139.755023
"日比谷図書文化館",35.671701,139.754506
"木のスツール",35.673122,139.75685
"古代スカンジナビア碑",35.674334,139.757877
"アオギリ",35.672703,139.754708
"イヌガヤ",35.674502,139.756806
"足",35.672018,139.753938
"宇宙の三位一体",35.67131,139.753156
"日比谷公園祝田門",35.676417,139.755981
"にれのき広場触知図案内板",35.672591,139.755661
"スダジイ",35.674308,139.756783
"Art Deco Clock",35.673691,139.753682
"岩手県 なんぶあかまつ",35.672435,139.753529
